start,end
2017-08-04 10:02:20.000-05:00,2017-08-04 11:08:00.000-05:00
2017-08-04 17:34:00.000-05:00,2017-08-04 19:30:00.000-05:00
2017-08-05 13:26:15.000-05:00,2017-08-05 14:29:46.000-05:00
2017-08-06 11:35:42.000-05:00,2017-08-06 12:43:20.000-05:00
2017-08-06 17:24:04.000-05:00,2017-08-06 19:56:00.000-05:00
2017-08-07 19:55:36.000-05:00,2017-08-07 20:54:00.000-05:00
2017-08-08 21:54:28.000-05:00,2017-08-08 22:58:00.000-05:00
2017-08-09 09:17:21.000-05:00,2017-08-09 10:00:00.000-05:00
2017-08-09 15:14:54.000-05:00,2017-08-09 19:46:00.000-05:00
2017-08-10 09:17:56.000-05:00,2017-08-10 12:01:00.000-05:00
2017-08-10 21:40:24.000-05:00,2017-08-10 22:00:04.000-05:00
2017-08-11 20:00:38.000-05:00,2017-08-11 22:00:06.000-05:00
2017-08-12 08:11:39.000-05:00,2017-08-12 08:32:40.000-05:00
2017-08-12 22:10:47.000-05:00,2017-08-12 22:49:50.000-05:00
2017-08-13 10:20:54.000-05:00,2017-08-13 11:37:18.000-05:00
2017-08-13 20:31:51.000-05:00,2017-08-13 21:05:00.000-05:00
2017-08-14 08:33:21.000-05:00,2017-08-14 10:11:00.000-05:00
2017-08-14 15:10:00.000-05:00,2017-08-14 18:00:00.000-05:00
2017-08-15 07:50:49.000-05:00,2017-08-15 19:49:44.000-05:00
